ObjectId,identifier,other_identifier,medium,title,description,display_date,date,start_date,end_date,tags,subject,provenance,repository,rights,visibility
1950.001.133,fchs_1950.001.133,1950.001,blankets (coverings),Blanket Belonging to Bruster Shelor,Blanket Belonging to Bruster Shelor used during World War I.,,,,,"Shelor, Bruster||blanket|| World War I","World War, 1914-1918|| Blankets","Donor, Unknown",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.134,fchs_1950.001.134,1950.001,ripsaws,A Small Ripsaw,"A small 20-inch ripsaw. The handle is wood, the blade steel. There are no identifying markings on the saw.",,,,,,Saws,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.140,fchs_1950.001.140,1950.001,gloves,Wool Gloves,Wool Gloves used in WWI by Bruster Shelor. The gloves are not the same size.,,,,,"Shelor, Bruster||World War I|| gloves|| WWI","World War, 1914-1918|| Gloves","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.141,fchs_1950.001.141,1950.001,hat covers,Cloth Hat from WWI,Cloth hat used in World War I.,,,,,WWI|| hat|| World War I,"World War, 1914-1918|| Hats","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.142,fchs_1950.001.142,1950.001,puttees,Leg Puttees used in World War I,Leg Puttees used in World War I,,,,,World War I|| WWI,"World War, 1914-1918","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.143,fchs_1950.001.143,1950.001,achievement certificates / commemoration certificates / certificates,Presidential Certificate in Recognition of Noah E. Martin,Presidential Certificate in Recognition of Noah E. Martin signed by president Jimmy Carter.,,,,,"Martin, Noah E||WWI|| World War I|| certificate","World War, 1914-1918|| Presidential Memorial Certificates","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.144,fchs_1950.001.144,1950.001,puttees,Leather Puttees from World War I,Leather Puttees from World War I,,,,,World War I|| WWI,"World War, 1914-1918","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.145,fchs_1950.001.145,1950.001,picture postcards,Sampler from Elva Cole to Ed Martin,"Sampler stating ""Longing to see you"" sent by Elva Cole to Ed Martin. Sentiments shared by all families and loved ones.",,,,,"Cole, Elva|| Martin, Ed||postcard|| World War I|| correspondence","World War, 1914-1918|| Postcards","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.146,fchs_1950.001.146,1950.001,satchels,Bag from World War I,"Bag from World War I with patch for 80th Division, the ""Blue Ridge Division"". Belonged to Bruster Shelor",,,,,"Shelor, Bruster||Shoulder bag","World War, 1914-1918|| Bags","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.151,fchs_1950.001.151,1950.001,mailing machines,Columbia Post Office Cancelling Machine,"After the Civil War, one of the physical problems of the postal service was the ""working"" of the mail, arranging letters right side up (facing), postmarking and canceling the stamp. The real problem in postmarking mail, however, was keeping pace with the ever-growing number of letters and cards which had to be processed.
In order to save both time and labor, the first canceling machine to receive serious consideration was invented by Thomas and Martin Leavitt of Boston and patented in 1876. In 1882, Leavitt's machine No.? was adopted by Congress to be used in large city post offices. Early models were operated by turning a hand crank. Later models were belt-driven.
It was estimated that an experienced clerk could face and hand stamp 1500 to 2000 letters per hour. Whereas the No.? machine had a rated capacity of 15,000 pieces per hour. In 1892, satisfactory machines were developed to operate on electric power.
In 1902, the Roanoke Post Office installed a new canceling machine that operated by an electric motor. It had an operating capacity of 380 letters per minute.
Around 1917—18, the canceling machine on display was placed in service at the Floyd Post Office and remained in use until 1936. It was replaced by a more modern and efficient machine that had the hand crank placed on the right side. This machine remained in service until approximately 2000 when outgoing mail was sent to a regional processing center for postmarking.",,,,,mail|| Cancelling Machine,Postal service|| Postal service--Equipment and supplies|| Canceling machines,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1983.001.002,fchs_1983.001.002,1983.001,stills (culinary equipment),Handcrafted Copper Still,"This finely handcrafted copper still was most likely fabricated in a local blacksmith shop. It produced approximately three gallons per run. When confiscated in 1983, law enforcement officers estimated the still to be about 150 years old.
The still belonged to Emitt Guy White of Indian Valley, whose grandfather had used it prior to Prohibition. Special Agent B.J. Webble, Deputy Jerry Yopp, State Trooper Jimmy Howery, Agent Jack Powell, and Sheriff George Branscome found the still during an October 25, 1983 raid. Recognizing its historical significance, they preserved the still. Through the efforts of Marguerite Tise and Prentice Thompson, The Floyd County Historical Society became the owner and protector on December 8, 1983.",,,,,"Weddle, B.J. (Special Agent)|| Yopp, Jerry (Deputy)|| Howery, Jimmy (State Trooper)|| Powell, Jack (Agent)|| Branscome, George (Sheriff)||Still",Distilleries,"General District Court of Floyd County, Virginia",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1992.001.001,fchs_1992.001.001,1992.001,pump organs,Church pump organ from the Harvestwood Church,"Church pump organ from the no longer standing Harvestwood Church. Mrs. Thelma Turner Houchins played the organ for many years. Pumping the foot pedals forced air over the free-floating reeds to made the musical notes. The faster the pumping, the louder the sound.",,,,,Organ,Music|| Musical instruments|| Organ (Musical instrument)|| Reed organ,"Vest, Susie Belle","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1996.001.001,fchs_1996.001.001,1996.001,household baskets,Large Basket with a Lid,"Large Basket with a Lid.
Hand woven with hand made splits made of hickory wood.",,,,,,Baskets,"Whitenack, Leo",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1996.002.001,fchs_1996.002.001,1996.002,drums (membranophones),Civil War Drum,"A Civil war era drum believed to be carried in battle by Caleb Sower, Drum Major of Company A, 24th Virginia Infantry of the Confederate States of America. The drum is also believed to have been carried to Gettysburg for a reunion in 1912. Details of the provenance and history of the drum is unclear.",,,,,"Sowers, Caleb||drum|| Civil War","United States--History--Civil War, 1861-1865|| Musical instruments|| Drum","Yeatts, John Hassell","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1996.003.001,fchs_1996.003.001,1996.003,chairs (furniture forms),Little Red Chair,"This chair was used by Dr. Bedsaul as a child, born June 1, 1900. The chair was purchased in the 1903 - 1906 time period.",,,,,,Chairs|| Rocking chairs,"Bedsaul, F. Clyde","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1996.004.001,fchs_1996.004.001,1996.004,portraits,Dr. F. Clyde Bedsaul,"A portrait painting of Dr. Bedsaul by Kimberly Kingrea, circa 1987",1986,1986,1986,,"Bedsaul, F. Clyde||painting",Painting|| Portraits,"Bedsaul, F. Clyde","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2000.001.001,fchs_2000.001.001,2000.001,corn planter,Manually Operated Corn Planter,Manually Operated Corn Planter,,,,,,Corn planters (Machines),"Rutrough, Evelyne","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2001.001.001,fchs_2001.001.001,2001.001,settees (multiple-seating furniture),"Robley Evans Family Furniture, Settee",A walnut wood settee with red plush upholstery.,,,,,,Sofas,"Evans, Harold","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2001.001.002,fchs_2001.001.002,2001.001,armchairs,"Robley Evans Family Furniture, Armchair",A walnut wood armchair with red plush upholstery.,,,,,,Armchairs,"Evans, Harold","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2001.001.003,fchs_2001.001.003,2001.001,chairs (furniture forms),"Robley Evans Family Furniture, Straight Chair",A walnut wood straight backed chair with red plush upholstery.,,,,,,Chairs,"Evans, Harold","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2006.004.002,fchs_2006.004.002,2006.004,dinner bells,Brame Hotel Lunch Bell,"This bell was in the Brame Hotel and used to summon guest to lunch.
The bell in manufactured in Fredrick Town, Ohio, and described as a #2 bell.",,,,,bell|| Brame Hotel,Dinners and dining|| Bells,Jessie Peterman Collection CG 0003,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2006.023.001,fchs_2006.023.001,2006.023,looms (textile tools),Rocker Beater Loom,Williams Rocker Beater Loom,,,,,Williams||Loom|| Rock o' Beater,Looms|| Weaving,"Smith, Margaret A. CG 0005","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2006.027.002,fchs_2006.027.002,2006.027,candlesticks,Ornamental Candlesticks - Circa 1869,"A pair of ornamental candlesticks circa 1868 originally owned by Elizabeth Law Spear, mother of Mrs. R. Gamble See",,,,,,Candlesticks,R. Devereaux Jarratt,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2006.034.001,fchs_2006.034.001,2006.034,zithers,Mandolin Guitar,"Mandolin Guitar (Zither) musical instrument.
Described by Ms. Schaeffer as ""A 'mandolin guitar' (probably a zither - looks like an autoharp without the chord buttons). Back in the early 1900s, my maternal grandpa (C. L. ""Cam"" Turner) bought this musical instrument for my mother (Clara Turner Thomas) and her other siblings. It was a Christmas gift for the family from Grandpa. (In my book and in the picture book done by historical society, there's a picture of my Grandpa Turner's store on the Franklin Pike.) Years before, though, my grandparents lived nearby on Paradise Lane and they were living there when Grandpa brought home the zither as a Christmas gift. I don't recall ever hearing anyone play this instrument.
I came to have it from my mother and her Turner side of family. I think there may have at one time been a few pieces of sheet music - notes that could be slid under the strings. Kind of like children’s toy pianos used to have.""",,,,,"Turner, C. L. ""Cam""|| Thomas, Clara Turner||Zither",Zither|| Stringed instruments|| Musical instruments,"Schaeffer, Jean T","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2006.037.001,fchs_2006.037.001,2006.037,wall clocks,Welby 31 Day Front Wind Chime Clock,"Welby 31 Day Front Wind Chime Clock Model No. 238 purchased on May 15, 1978 at the Best Products, Co. in Roanoke, VA",1978-05-15,1978-05-15,1978-05-15,,,Clocks and watches|| Wall clocks,"Directors, Board of, Floyd County Historical Preservation Trust","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2007.002.002,fchs_2007.002.002,2007.002,trunks (containers),Humpback Trunk,"A large humpbacked trunk with a sheet metal cladding that has been stamped to appear as reptile skin.
From the Keith Family collection of artifacts. The trunk is believed to be that of Sparrel Tyler Turner, State Senator from 1904 - 1906",,,,,"Turner, Sparrel Tyler||Travel Trunk",Trunks (Luggage)|| Politicians,"Keith, Katina M.","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2007.003.002,fchs_2007.003.002,2007.003,looms (textile tools),Barn Loom circa 1831,A very old barn loom.,,,,,Loom,Looms|| Weaving,Evelyn A. Lahman (2004 FCHPT),"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2007.006.001,fchs_2007.006.001,2007.006,North American paper money,Virginia Treasury Note No. 167490 One Dollar,A vintage 1862 Virginia Treasury Note with the hand written note number of 167490. The face value is One Dollar.,1862-07-01,1862-07-01,1862-07-01,,Currency,Paper money|| Money,"Heafner, Jessie Tise","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.001.001,fchs_2010.001.001,2010.001,looms (textile tools),"Loom, 30 Inch. Floor Loom",A Relatively Modern Loom the has a 30 inch capacity warp.,,,,,Loom,Looms|| Weaving,"Jones, J. B.","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.001.002,fchs_2010.001.002,2010.001,looms (textile tools),"Loom, 30 Inch. Floor Loom",A Relatively Modern 20th century Loom that has a 30 inch capacity warp. This loom has been repaired and is fully functional. A warp has been installed so that the loom is ready to weave and use for demonstrations.,,,,,Loom,Looms|| Weaving,"Jones, J. B.","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.001.003,fchs_2010.001.003,2010.001,looms (textile tools),Barn Loom,A large barn loom with a forty inch beam.,,,,,Loom,Looms|| Weaving,"Jones, J. B.","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.004.001,fchs_2010.004.001,2010.004,portraits,Dr. Silas T. Yeatts,Portrait of Doctor Yeatts and a newspaper article about the doctor.,,,,,"Yeatts, M.D., Silas T.||Doctor",Portraits|| Doctors,"Yeatts Jr., A. Hunter",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.006.001,fchs_2010.006.001,2010.006,electronic clocks,Check School Clock,Reba Craighead graduated from Check High School in 1940. Clock is wooden/oak casing that was in Check High School principal office. Used to ring 2 sets of class bells. Reba purchased at a PTA sale.,2010-07-16,2010-07-16,2010-07-16,,clock|| Miller Program Clock Co.|| wooden case clock,Clocks and watches,"Peak, Robert",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.007.001,fchs_2010.007.001,2010.007,wheelchairs,Sears Approved Wheel Chair # 1580,A vintage medical chair that was approved by the Sears Testing Laboratories.,,,,,wheelchair,Wheelchairs,"Moore, Sam","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.008.001,fchs_2010.008.001,2010.008,gavels (ceremonial mallets),Commemorative Gavel and History Document,"This is a framed document that includes a commemorative gavel presented to Ralph M. Yopp, W.M. in 2000 by the Floyd Lodge # 329 A.F. & A.M.",,,,,Ralph Yopp||Masonic Lodge,Gavels|| Freemasonry--Lodges|| Freemasonry,"Yopp, Ralph M.","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2010.010.001,fchs_2010.010.001,2010.01,chairs (furniture forms),Dr. Silas T. Yeatts Office Chair,"This is the chair that Dr. Yeatts used in his office in the Ridgemont Hospital, Floyd, Virginia.",,,,,"Yeatts, M.D., Silas T.||chair|| chairs",Chairs,"Yeatts Jr., A. Hunter","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001,fchs_2011.001,2011.001,nursing bottles,Mini Baby Feeder,"Mini baby feeder in box with never used bottle nipples, made in England.",,,,,Medical Equipment,Bottle feeding,Lisa Robbins Haynes,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.005,fchs_2011.001.005,2011.001,apothecary bottles,Apothecary Bottle,"Apothecary Bottles which may have come from Rutrough's Pharmacy.
Glass measuring container. four oz. / 22 cc.",,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.006,fchs_2011.001.006,2011.001,apothecary bottles,Apothecary Bottle,"Apothecary Bottles which may have come from Rutrough's Pharmacy.
Glass measuring container 60 cc.",,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.010,fchs_2011.001.010,2011.001,apothecary bottles,Apothecary Bottle,Clear white etched bottle,,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.011,fchs_2011.001.011,2011.001,apothecary bottles,Apothecary Bottle,"Apothecary Bottles which may have come from Rutrough's Pharmacy.
D & S Sarsaparilla bottle with liquid in it Tazewell Ave. Pharmacy Roanoke, VA.",,,,,medicine|| Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.012,fchs_2011.001.012,2011.001,laboratory funnels,Large Glass Funnel,Large Glass funnel type (airvent?),,,,,,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.013,fchs_2011.001.013,2011.001,apothecary containers,Apothecary Measuring Cup,Apothecary item shot glass,,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.016,fchs_2011.001.016,2011.001,laboratory funnels,Small Glass Funnel,Mooney Air Vent 4 oz,,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.018,fchs_2011.001.018,2011.001,nursing bottles,Mini Baby Feeder,"Mini baby feeder in box with never used bottle nipples, made in England.",,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.019,fchs_2011.001.019,2011.001,drug jars,Blue Noxema Jar,Blue noxema jar,,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.021,fchs_2011.001.021,2011.001,apothecary bottles,Glycerin Bottle,Glycerin bottle,,,,,,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.025,fchs_2011.001.025,2011.001,apothecary bottles,Embossed Blue Glass Bottle,"Blue Bottle (inscribed"" not to be taken"")",,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.026,fchs_2011.001.026,2011.001,test tubes,50ml Graduated Cylinder,50ml graduated cylinder,,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.028,fchs_2011.001.028,2011.001,medicine bottles,Lancaster's Indian Vegetable Jaundice Bitters,"A Lancaster's Indian Vegetable Jaundice Bitters (light blue bottle-spelled as per bottle)
Jaundice Bitters/Colson Johnson Priopietor/Richmond, Va 1852",1852,1852,1852,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.029,fchs_2011.001.029,2011.001,apothecary bottles,Embossed Blue Glass Bottle,"Blue bottle ""Renwar""",,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
2011.001.032,fchs_2011.001.032,2011.001,drug jars,Green Lidded Jar With Powder,Green jar & lid with powered substance (McKesson Quality Since 1833),,,,,Medical Equipment,Medical instruments and apparatus,Lisa Robbins Haynes,"Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
